location-id,semantic-place
1010200020,SMUSISL2STUDYAREA1
1010200021,SMUSISL2STUDYAREA1
1010200022,SMUSISL2STUDYAREA1
1010200023,SMUSISL2STUDYAREA1
1010200024,SMUSISL2STUDYAREA1
1010200025,SMUSISL2LOBBY
1010200026,SMUSISL2LOBBY
1010200027,SMUSISL2LOBBY
1010200028,SMUSISL2LOBBY
1010200029,SMUSISL2LOBBY
1010200030,SMUSISL2LOBBY
1010200031,SMUSISL2LOBBY
1010200032,SMUSISL2LOBBY
1010200033,SMUSISL2STUDYAREA1
1010200034,SMUSISL2STUDYAREA1
1010200035,SMUSISL2STUDYAREA1
1010200036,SMUSISL2STUDYAREA1
1010200037,SMUSISL2STUDYAREA1
1010200038,SMUSISL2STUDYAREA1
1010200039,SMUSISL2STUDYAREA1
1010200040,SMUSISL2STUDYAREA1
1010200041,SMUSISL2STUDYAREA1
1010200042,SMUSISL2STUDYAREA1
1010200043,SMUSISL2STUDYAREA1
1010200044,SMUSISL2STUDYAREA2
1010200045,SMUSISL2STUDYAREA2
1010200046,SMUSISL2STUDYAREA2
1010200047,SMUSISL2STUDYAREA2
1010200048,SMUSISL2STUDYAREA2
1010200049,SMUSISL2STUDYAREA2
1010200050,SMUSISL2STUDYAREA2
1010200051,SMUSISL2STUDYAREA2
1010200052,SMUSISL2STUDYAREA2
1010200053,SMUSISL2STUDYAREA2
1010200054,SMUSISL2STUDYAREA2
1010200055,SMUSISL2STUDYAREA2
1010200056,SMUSISL2STUDYAREA2
1010200057,SMUSISL2STUDYAREA2
1010200058,SMUSISL2STUDYAREA2
1010200059,SMUSISL2STUDYAREA2
1010200060,SMUSISL2STUDYAREA2
1010200061,SMUSISL2STUDYAREA2
1010200062,SMUSISL2STUDYAREA2
1010200063,SMUSISL2STUDYAREA2
1010200064,SMUSISL2STUDYAREA2
1010200065,SMUSISL2STUDYAREA2
1010200066,SMUSISL2STUDYAREA2
1010200067,SMUSISL2STUDYAREA2
1010200068,SMUSISL2SR2-4
1010200069,SMUSISL2SR2-4
1010200070,SMUSISL2SR2-4
1010200071,SMUSISL2SR2-4
1010200072,SMUSISL2SR2-4
1010200073,SMUSISL2SR2-4
1010200074,SMUSISL2SR2-4
1010200075,SMUSISL2SR2-4
1010200076,SMUSISL2SR2-4
1010200077,SMUSISL2SR2-4
1010200078,SMUSISL2SR2-4
1010200079,SMUSISL2SR2-4
1010200080,SMUSISL2SR2-4
1010200081,SMUSISL2SR2-4
1010200082,SMUSISL2SR2-4
1010200083,SMUSISL2STUDYAREA2
1010200084,SMUSISL2STUDYAREA2
1010200085,SMUSISL2STUDYAREA2
1010200086,SMUSISL2STUDYAREA2
1010200087,SMUSISL2STUDYAREA2
1010200088,SMUSISL2STUDYAREA2
1010200089,SMUSISL2SR2-3
1010200090,SMUSISL2SR2-3
1010200091,SMUSISL2SR2-3
1010200092,SMUSISL2SR2-3
1010200093,SMUSISL2SR2-3
1010200094,SMUSISL2SR2-3
1010200095,SMUSISL2SR2-3
1010200096,SMUSISL2SR2-3
1010200097,SMUSISL2SR2-3
1010200098,SMUSISL2SR2-3
1010200099,SMUSISL2SR2-3
1010200100,SMUSISL2SR2-2
1010200101,SMUSISL2SR2-2
1010200102,SMUSISL2SR2-2
1010200103,SMUSISL2SR2-2
1010200104,SMUSISL2SR2-2
1010200105,SMUSISL2SR2-2
1010200106,SMUSISL2SR2-2
1010200107,SMUSISL2SR2-2
1010200108,SMUSISL2SR2-2
1010200109,SMUSISL2SR2-2
1010200110,SMUSISL2SR2-2
1010200111,SMUSISL2SR2-1
1010200112,SMUSISL2SR2-1
1010200113,SMUSISL2SR2-1
1010200114,SMUSISL2SR2-1
1010200115,SMUSISL2SR2-1
1010200116,SMUSISL2SR2-1
1010200117,SMUSISL2SR2-1
1010200118,SMUSISL2SR2-1
1010200119,SMUSISL2SR2-1
1010200120,SMUSISL2SR2-1
1010200121,SMUSISL2SR2-1
1010200122,SMUSISL2SR2-1
1010200123,SMUSISL2SR2-1
1010200124,SMUSISL2SR2-1
1010200125,SMUSISL2SR2-1
1010200126,SMUSISL2STUDYAREA1
1010200127,SMUSISL2STUDYAREA1
1010200128,SMUSISL2STUDYAREA1
1010200129,SMUSISL2STUDYAREA1
1010200130,SMUSISL2STUDYAREA1
1010200131,SMUSISL2STUDYAREA1
1010200132,SMUSISL2STUDYAREA1
1010200133,SMUSISL2STUDYAREA1
1010200134,SMUSISL2STUDYAREA1
1010200135,SMUSISL2STUDYAREA1
1010300001,SMUSISL3LOBBY
1010300002,SMUSISL3LOBBY
1010300003,SMUSISL3LOBBY
1010300004,SMUSISL3LOBBY
1010300005,SMUSISL3LOBBY
1010300006,SMUSISL3LOBBY
1010300007,SMUSISL3LOBBY
1010300008,SMUSISL3LOBBY
1010300009,SMUSISL3LOBBY
1010300010,SMUSISL3LOBBY
1010300025,SMUSISL3STUDYAREA1
1010300026,SMUSISL3STUDYAREA1
1010300027,SMUSISL3STUDYAREA1
1010300028,SMUSISL3STUDYAREA1
1010300029,SMUSISL3STUDYAREA1
1010300030,SMUSISL3STUDYAREA1
1010300031,SMUSISL3STUDYAREA1
1010300032,SMUSISL3STUDYAREA1
1010300033,SMUSISL3LOBBY
1010300034,SMUSISL3STUDYAREA1
1010300035,SMUSISL3STUDYAREA1
1010300036,SMUSISL3STUDYAREA1
1010300037,SMUSISL3LOBBY
1010300038,SMUSISL3LOBBY
1010300039,SMUSISL3LOBBY
1010300040,SMUSISL3LOBBY
